true,predicted,photos,share_of_true_class,same_crop
brinjal_eggplant::Healthy,brinjal_eggplant::Mosaic virus,56,0.165,True
groundnut::Tikka leaf spot,groundnut::Healthy,27,0.102,True
lentil::Powdery mildew,lentil::Healthy,24,0.14,True
lentil::Healthy,lentil::Ascochyta blight,21,0.088,True
squash::Powdery mildew,cucumber::Powdery mildew,19,0.064,False
lentil::Healthy,lentil::Powdery mildew,17,0.071,True
brinjal_eggplant::Cercospora leaf spot,brinjal_eggplant::Insect pest damage,16,0.203,True
tomato::Yellow leaf curl virus,tomato::Septoria leaf spot,16,0.046,True
lentil::Ascochyta blight,lentil::Healthy,16,0.087,True
cauliflower::Black rot,cauliflower::Insect pest damage,16,0.091,True
corn_maize::Northern leaf blight,corn_maize::Gray leaf spot,15,0.051,True
brinjal_eggplant::Healthy,brinjal_eggplant::Cercospora leaf spot,15,0.044,True
soybean::Semilooper caterpillar (pest),soybean::Rust,14,0.055,True
tomato::Bacterial spot,tomato::Early blight,14,0.041,True
groundnut::Healthy,groundnut::Tikka leaf spot,13,0.074,True
brinjal_eggplant::Healthy,brinjal_eggplant::Insect pest damage,12,0.035,True
cauliflower::Black rot,cauliflower::Healthy,12,0.068,True
groundnut::Tikka leaf spot,groundnut::Nutrient deficiency,11,0.042,True
wheat::Tan spot,wheat::Leaf blight,11,0.151,True
brinjal_eggplant::Mosaic virus,brinjal_eggplant::Healthy,11,0.057,True
rice::Blast,rice::Bacterial leaf blight,11,0.038,True
cauliflower::Healthy,cauliflower::Insect pest damage,11,0.062,True
tomato::Late blight,tomato::Early blight,10,0.028,True
spinach::Insect pest damage,spinach::Bacterial spot,10,0.135,True
lentil::Healthy,lentil::Rust,9,0.038,True
rice::Healthy,rice::Blast,9,0.053,True
soybean::Rust,soybean::Septoria brown spot,9,0.064,True
soybean::Semilooper caterpillar (pest),soybean::Mosaic virus,9,0.035,True
corn_maize::Northern leaf blight,corn_maize::Curvularia leaf spot,9,0.03,True
spinach::Insect pest damage,spinach::Healthy,9,0.122,True
